sku,brand,fccIds,functions,oemPartNumbers,descriptor,confidence,rawText
BMW-1443,BMW,KR55WK49123,"L, U, T",6954808-01,,catalog label extraction - review,"KR55WK49123 | L, U, T | 6954808-01"
BMW-1449,BMW,A269ZUA111,"L, U",82-11-1-469-448,,catalog label extraction - review,"A269ZUA111 | L, U | 82-11-1-469-448"
BMW-1451,BMW,KR55WK49127,"L, U, T",6986583-05,,catalog label extraction - review,"KR55WK49127 | L, U, T | 6986583-05"
BMW-1452,BMW,KR55WK49147,"L, U, T",66120397727; 66126986579; 66129268486,,catalog label extraction - review,"KR55WK49147 | L, U, T | 66120397727, 66126986579, | 66129268486"
BMW-1454,BMW,KR55WK49143,"L, U, T",6954812-01,,catalog label extraction - review,"KR55WK49143 | L, U, T | 6954812-01"
BMW-1457,BMW,KR55WK49663,"L, U, T, P",9202840-01; 9204788-01; 9226932-01,,catalog label extraction - review,"KR55WK49663 | L, U, T, P | 9202840-01, 9204788-01, | 9226932-01"
BMW-1458,BMW,LX8FZV,"L, U, P",,,catalog label extraction - review,"LX8FZV, Aftermarket | L, U, P | No Notch (2-Track)"
BMW-1459,BMW,LX8FZV,"L, U, T",,,catalog label extraction - review,"LX8FZV, Aftermarket | L, U, T | Notched (4-Track)"
BMW-1465,BMW,YGOHUF5662,"L, U, T",9254891-03,,catalog label extraction - review,"YGOHUF5662 | L, U, T | 9254891-03"
BMW-1466,BMW,YGOHUF5662,"L, U, T, P",9266843-01; 9266843-02; 9266843-03,,catalog label extraction - review,"YGOHUF5662 | L, U, T, P | 9266843-01, 9266843-02, | 9266843-03"
BMW-1467,BMW,YGOHUF5662,"L, U, T, P",9266846-02,,catalog label extraction - review,"YGOHUF5662 | L, U, T, P | 9266846-02"
BMW-1468,BMW,YGOHUF5662,"L, U, T, P",7847229-02,,catalog label extraction - review,"YGOHUF5662 | L, U, T, P | 7847229-02"
BMW-1469,BMW,YGOHUF5662,"L, U, T",8053869-03,,catalog label extraction - review,"YGOHUF5662 | L, U, T | 8053869-03"
BMW-1470,BMW,YGOHUF5662,"L, U, T, P",9266845-02,,catalog label extraction - review,"YGOHUF5662 | L, U, T, P | 9266845-02"
BMW-1471,BMW,YGOHUF5662,"L, U, T",9254899-02,,catalog label extraction - review,"YGOHUF5662 | L, U, T | 9254899-02"
BMW-1472,BMW,YGOHUF5661,"L, U, T",8053870-03,,catalog label extraction - review,"YGOHUF5661 | L, U, T | 8053870-03"
BMW-1473,BMW,YGOHUF5767,"L, U, T",9312542-03,,catalog label extraction - review,"YGOHUF5767 | L, U, T | 9312542-03"
BMW-1474,BMW,YGOHUF5767,"L, U, T",9312531-03,,catalog label extraction - review,"YGOHUF5767 | L, U, T | 9312531-03"
BMW-1475,BMW,YGOHUF5767,"L, U, T, P",9312533-03,,catalog label extraction - review,"YGOHUF5767 | L, U, T, P | 9312533-03"
BMW-1476,BMW,YGOHUF5662,"L, U, T, P",9263332-01,,catalog label extraction - review,"YGOHUF5662 | L, U, T, P | 9263332-01"
BMW-1478,BMW,YGOHUF5662,"L, U, T, P",9284935-01,,catalog label extraction - review,"YGOHUF5662 | L, U, T, P | 9284935-01"
BMW-1479,BMW,YGOHUF5662,"L, U, T",9254907-03,,catalog label extraction - review,"YGOHUF5662 | L, U, T | 9254907-03"
BMW-1480,BMW,YGOHUF5662,"L, U, T, P",9263334-01; 9263334-02,,catalog label extraction - review,"YGOHUF5662 | L, U, T, P | 9263334-01, 9263334-02"
BMW-1481,BMW,YGOHUF5662,"L, U, T, P",9259714-02; 9284937-01,,catalog label extraction - review,"YGOHUF5662 | L, U, T, P | 9259714-02, 9284937-01"
BMW-1482,BMW,KR55WK49863,"L, U, T, P",9226936-02,,catalog label extraction - review,"KR55WK49863 | L, U, T, P | 9226936-02"
BMW-1483,BMW,YGOHUF5767,"L, U, T",9312538-02,,catalog label extraction - review,"YGOHUF5767 | L, U, T | 9312538-02"
BMW-1484,BMW,NBGIDGNG1,"L, U, T, P",9337238-02,,catalog label extraction - review,"NBGIDGNG1 | L, U, T, P | 9337238-02"
BMW-1485,BMW,YGOHUF5767,"L, U, T",8723598-01; 9312523-02; 9312523-03; 9312523-05,,catalog label extraction - review,"YGOHUF5767 | L, U, T | 8723598-01, 9312523-02, | 9312523-03, 9312523-05"
BMW-1486,BMW,YGOHUF5767,"L, U, T, P",9312540-04,,catalog label extraction - review,"YGOHUF5767 | L, U, T, P | 9312540-04"
BMW-1487,BMW,YGOHUF5767,"L, U, T, P",9312544-03,,catalog label extraction - review,"YGOHUF5767 | L, U, T, P | 9312544-03"
BMW-1488,BMW,YGOHUF5767,"L, U, T, P",8723600-02; 9312525-03,,catalog label extraction - review,"YGOHUF5767 | L, U, T, P | 8723600-02, 9312525-03"
BMW-1489,BMW,NBGIDGNG1,"L, U, T, P",,,catalog label extraction - review,"NBGIDGNG1 | L, U, T, P | 315 MHz | --- PAGE BREAK ---"
BMW-1490,BMW,N5F-ID2A,"L, U, T, P",,,catalog label extraction - review,"N5F-ID2A | L, U, T, P"
BMW-1491,BMW,YGOHUF5662,"L, U, T, P",9259718-02,,catalog label extraction - review,"YGOHUF5662 | L, U, T, P | 9259718-02"
BMW-1492,BMW,KR55WK49863,"L, U, T, P",9265973-01,,catalog label extraction - review,"KR55WK49863 | L, U, T, P | 9265973-01"
BMW-1493,BMW,N5F-ID21A,"L, U, T, P",9367401-01,,catalog label extraction - review,"N5F-ID21A | L, U, T, P | 9367401-01"
BMW-1495,BMW,YGOHUF5767,"L, U, T, P",,,catalog label extraction - review,"YGOHUF5767 | L, U, T, P"
BMW-1496,BMW,KR55WK49663,"L, U, T, P",,,catalog label extraction - review,"KR55WK49663 | L, U, T, P"
BMW-1497,BMW,YGOHUF5662,"L, U, T, P",,,catalog label extraction - review,"YGOHUF5662 | L, U, T, P"
BMW-1498,BMW,YGOHUF5662,"L, U, T, P",,,catalog label extraction - review,"YGOHUF5662 | L, U, T, P"
BMW-1499,BMW,YGOHUF5662,"L, U, T, P",,,catalog label extraction - review,"YGOHUF5662 | L, U, T, P"
BMW-1500,BMW,YGOHUF5662,"L, U, T, P",,,catalog label extraction - review,"YGOHUF5662 | L, U, T, P"
BMW-1501,BMW,NBGIDGNG1,"L, U, T, P",,,catalog label extraction - review,"NBGIDGNG1 | L, U, T, P"
BMW-1502,BMW,KR55WK49147,"L, U, T",6986583-04,,catalog label extraction - review,"KR55WK49147 | L, U, T | 6986583-04"
BMW-2,BMW,LX8FZV,"L, U, T",6955750; 8377809,,catalog label extraction - review,"LX8FZV | L, U, T | 6955750, 8377809"
BMW-3,BMW,LX8FZV,"L, U, T",,,catalog label extraction - review,"LX8FZV | L, U, T | No Notch | BMW-KR5 433 CAS4 | KR55WK49863 | L, U, T, P | CAS4 | BMW-KR5 433 FEM | KR55WK49863 | L, U, T, P | Aftermarket Replacement - | Please See Details | BMW-YGO CAS4 | YGOHUF5662 | L, U, T, P | Aftermarket, 315MHZ"
CAD-1102,CAD,ABO1602T L,,16259829,,catalog label extraction - review,"ABO1602T | L, U, T, GC | 16259829"
CAD-1105,CAD,KOBUT1BT L,,25656444,,catalog label extraction - review,"KOBUT1BT | L, U, T, GC | 25656444"
CAD-1108,CAD,KOBLEAR1XT L,,25695966; 25695967,,catalog label extraction - review,"KOBLEAR1XT | L, U, T, GC | 25695966, 25695967"
CAD-1111,CAD,ABO1502T L,,9353029,,catalog label extraction - review,"ABO1502T | L, U, T, GC | 9353029"
CAD-1114,CAD,L2C0005T,"L, U, T, P",12223130-50; 12223132; 16263074; 16263074-99,,catalog label extraction - review,"L2C0005T | L, U, T, P | 12223130-50, 12223132, | 16263074, 16263074-99"
CAD-1117,CAD,L2C0005T,"L, U, P",12223130; 12223130-50; 12223131,,catalog label extraction - review,"L2C0005T | L, U, P | 12223130, 12223130-50, | 12223131"
CAD-1120,CAD,ABO0702T,"L, U, T, HL",10178734; 10269729,,catalog label extraction - review,"ABO0702T | L, U, T, HL | 10178734, 10269729"
CAD-1126,CAD,M3N-65981403,"L, U, T, P",15212382,,catalog label extraction - review,"M3N-65981403 | L, U, T, P | 15212382"
CAD-1129,CAD,M3N-65981403 L,,10354922; 10354923,,catalog label extraction - review,"M3N-65981403 | L, U, CT | 10354922, 10354923"
CAD-1132,CAD,ABO0104T,"L, U, G",15725423; 25609144,,catalog label extraction - review,"ABO0104T | L, U, G | 15725423, 25609144"
CAD-1137,CAD,OUC6000066; OUC6000223,"L, U, T, RS, P",20998254; 20998255; 25840557; 5923879; 5923880,,catalog label extraction - review,"OUC6000066, OUC6000223 | L, U, T, RS, P | 20998254, 20998255, 25840557, | 5923879, 5923880"
CAD-1139,CAD,OUC6000066; OUC6000223,"L, U, T, P",22889449; 22889450; 25840557; 5923877; 5923878,,catalog label extraction - review,"OUC6000066, OUC6000223 | L, U, T, P | 22889449, 22889450, 25840557, | 5923877, 5923878"
CAD-1141,CAD,OUC6000066; OUC6000223,"L, U, H, RS, P",20762971; 20998281; 20998282; 5923883; 5923884,,catalog label extraction - review,"OUC6000066, OUC6000223 | L, U, H, RS, P | 20762971, 20998281, 20998282, | 5923883, 5923884"
CAD-1143,CAD,OUC6000066; OUC6000223,"L, U, H, G, RS, P",20802901; 22756465; 22756466; 5923887; 5923888,,catalog label extraction - review,"OUC6000066, OUC6000223 | L, U, H, G, RS, P | 20802901, 22756465, 22756466, | 5923887, 5923888"
CAD-1145,CAD,M3N5WY7777A,"L, U, T, RS, P",25943676; 25943677,,catalog label extraction - review,"M3N5WY7777A | L, U, T, RS, P | 25943676, 25943677"
CAD-1147,CAD,OUC6000066; OUC6000223,"L, U, RS, P",22756463; 22756464; 5923885; 5923886,,catalog label extraction - review,"OUC6000066, OUC6000223 | L, U, RS, P | 22756463, 22756464, 5923885, | 5923886"
CAD-1149,CAD,NBG009768T,"L, U, H, RS, P",22856930; 13502537; 20984227; 22865375,,catalog label extraction - review,"NBG009768T | L, U, H, RS, P | 22856930, 13502537, 20984227, | 22865375, Scan for More"
CAD-1154,CAD,ABO0502T,"L, U, T, HL",GLQ926-1507,,catalog label extraction - review,"ABO0502T | L, U, T, HL | GLQ926-1507, GLQ9Z6-1507"
CAD-1159,CAD,L2C0005T,"L, U, H, P",19115765; 19115766,,catalog label extraction - review,"L2C0005T | L, U, H, P | 19115765, 19115766"
CAD-1162,CAD,NBG009768T,"L, U, TH, RS, P",22865375; 13502537; 20984227; 22586930,,catalog label extraction - review,"NBG009768T | L, U, TH, RS, P | 22865375, 13502537, 20984227, | 22586930, Scan for More"
CAD-1163,CAD,M3N-65981403,"L, U, T, RS, P",15212382; 15212383,,catalog label extraction - review,"M3N-65981403 | L, U, T, RS, P | 15212382, 15212383"
CAD-1164,CAD,NBG009768T,"L, U, P",20984232; 22865378; STRATTEC: 5931852,,catalog label extraction - review,"NBG009768T | L, U, P | 20984232, 22865378, | STRATTEC: 5931852"
CAD-1165,CAD,OUC6000066; OUC6000223,"L, U, H, P",22889451; 22889452; 5923881,,catalog label extraction - review,"OUC6000066, OUC6000223 | L, U, H, P | 22889451, 22889452, 5923881"
CAD-1166,CAD,OUC6000066; OUC6000223,"L, U, H, G, P",25842678,,catalog label extraction - review,"OUC6000066, OUC6000223 | L, U, H, G, P | 25842678"
CAD-1167,CAD,M3N5WY7777A,"L, U, T, P",25946298; 25840554; 25854923; 25943691,,catalog label extraction - review,"M3N5WY7777A | L, U, T, P | 25946298, 25840554, 25854923, | 25943691"
CAD-1168,CAD,NBG009768T,"L, U, TH, P",22856929; STRATTEC: 5931855,,catalog label extraction - review,"NBG009768T | L, U, TH, P | 22856929, STRATTEC: 5931855"
CAD-1169,CAD,M3N5WY7777A,"L, U, T, P",25926473,,catalog label extraction - review,"M3N5WY7777A | L, U, T, P | 25926473"
CAD-1170,CAD,M3N5WY7777A,"L, U, T, P",25926474,,catalog label extraction - review,"M3N5WY7777A | L, U, T, P | 25926474"
CAD-1171,CAD,HYQ2AB,"L, U, H, G, RS, P",13510242; 13580812; 13594028; 1359581; 13598511,,catalog label extraction - review,"HYQ2AB | L, U, H, G, RS, P | 13510242, 13580812, 13594028, | 1359581, 13598511"
CAD-1172,CAD,HYQ2AB,"L, U, T, P",13510253; 13594023; 13598506; STRATTEC: 5942488,,catalog label extraction - review,"HYQ2AB | L, U, T, P | 13510253, 13594023, 13598506, | STRATTEC: 5942488"
