ML_PN	LR_ID	MW_ID	TI P/N	ALIASES
NSFA0132	ULK132	NIS-332	182363.0	H0561-4BA1B, TIK-NIS-53R, TIK-NIS-53N, ULK132,
TXPT0007	LEX007	LEX-33	181252.0	89904-50380, TIK-LEX-22R, TIK-LEX-22N, 181252,
TXPT0043	TOY043	TOY-242	181368.0	URL:TXPT0043_181368
TXPT0043	TOY043	TOY-242	TIK-TOY-72	89904-06140, TIK-TOY-72N, TIK-TOY-72R,
TXPT0118	TOY-270	TOY118	181382.0	TXPT0118_TOY118, 89904-06200, TIK-TOY-111N, TIK-TOY-111R, TOY118HYQ14FBC(4),
CHPB0268	ULK268	CHRY-1657	181052.0	68394195AA, TIK-DOG-91R, TIK-DOG-91N, ULK268M3M40821302(5),
TXPT0148	TOY148	TOY-278	181388.0	8990H-12180
TXPT0148	TOY148	TOY-278	TIK-TOY-125	TIK-TOY-125N, TIK-TOY-125R,
TXPT0155	TOY155	TOY-371	214277.0	TXPT0155_214277, 8990H-AQ010,
TXPT0155	TOY155	TOY-371	TIK-TOY-185	TIK-TOY-185N, TIK-TOY-185R,
TXPT0155	TOY155	TOY-371	TOY155HYQ14FBW(4)	TXPT0155_TOY155
TXPT0186	TOY186	TOY-290	172505.0	TOY-305, 8990H-07070, OEM-TOY-290, 172518, OEM-TOY-305,
TXPT0186	TOY186	TOY-290	TIK-TOY-139	TIK-TOY-139N, TIK-TOY-139R,
TXPT0227	TOY227	TOY-285	172517.0	8990H-02030, TOY043HYQ14FBA(4), 8990H02030,
TXPU0232	TOY232	TOY-320	172544.0	8990H-0C010
TXPU0232	TOY232	TOY-320	TIK-TOY-163	TIK-TOY-163R,TIK-TOY-163N,
VLPT0618	ULK618	VOLVO-564	150656.0	31419894, 150656, OEM-VOLVO-564-SET, ULK618N, OEM-VOLVO-564,
VWPT9754				8K0-959-754-B-TKE
XXKZ0004	BAU4	BAU4	test	test,
	ACU011 D1	ACURA-889 M1	ACU011N5F0602A1A(4)DRIVER1
HAFJ0112	ACU011D2	ACURA-889 M2	184869.0	35111-STX-329, ACURA-889 M2 RC
SBKZ0004	SUB4PT	ILCO-SUB4PT
FDPV0071	FRD071	FORD-R8117	181092.0	164-R8117, TIK-FOR-66N, TIK-FOR-66R
TXPT0009	LEX009	LEX-36	181254.0	89904-06170, TIK-LEX-40R, TIK-LEX-40N,
TXPA6100	LEX6100			8990H-76101, TIK-LEX-71N, TIK-LEX-71R,
TXPJ0085	TOY085	TOY-252	181370.0	89904-0R080, TIK-TOY-36N, TIK-TOY-36R,
HGPT0091	ULK091	HYU-1264	181185.0	95440-3X520, 95440-3X500, ULK091SY5MDFNA433(4),ULK091N,
KAKZ0016	ILCO_HY16	HY16
TXKZ0047	X215/TOY47	TOY47	135877.0
HATK0003	ILCO_HO03PT	HO03PT		10036448227973,
BMMK0066	HU66
BMKZ0092	HU92
BMTK0066	HU66T6
CHMK0157	Y157
CHTK0170	Y170PT			Y170-PT, 10036948231482, CHKZ0170,
CHKZ0173	Y173PT
CHST0006	FBK006	FOBIK-2101		68058346AH, FBK006IYZ-C01C(4), RPL REMOTE FBK006IYZ-C01C(4) FITS 68058346AHR,
FDKZ0072	H72GTS
FDKZ0074	H74PT
FDTK0094	H94PT	H94-PT
FDTK0072	H72PT	H72-PT		104554, FDKZ4554,
FDTK0128	H128PT	H128-PT		5923293, ILCO-H128PT, FDKZ4559,
GMKZ0004	PT04PT
GMKZ0097	B97PT
GMKZ0099	B99PT
GMKZ0100	HU100
GMTK0119	B119PT			GMKZ0119,
GMKZ0120	B120PT
GMTK0111	B111-PT	B111PT	TIK-ILC-B111PT	GMKZ4040, ILCO-B111PT, 5928819, 104040, 10036448227027,
GMKZ7037	B96P		TIK-ILC-B96
GMRA0001	GM001	GM-691		15913420, GM-691 RC,
HAFH0011	ACU011
HAKZ0001	HO01
HAKZ0005	HO05PT
HAKZ0021	HOND21P
HATK0103	HD103PT
HAMK0214	X214			HAKZ0103
HAKZ0106	HD106PT
HAKZ0111	HD111PT
HAKZ0113	HD113PT
HAKZ4564	HO01PT
HAPH0101	TIK-HON-101R
HAPT0015	ACU015
HAPT0036	ACU036D1	ACURA-917 D1	180975.0	ACU036, 72147-TZ3-A21, 72147-TZ3-A22,
HAPT0061	HON061	HON-535		72147-TXM-A01
HGKZ0012	HY12
HGKZ0014	HY14
HGKZ0015	HY15
HGKZ0017	HY17
HGKZ0018	HY18R
HGKZ0020	HY20PT
HGKZ6964	HY18P
HGKZ7175	KK12P
HGPH0241	TIK-HYU-241
KAKZ0012	KK12
KAKZ0090	LXP90
MTKZ0003	MIT3
MTKZ0017	MIT17APT	MIT17A-PT
MZKZ0024	MAZ24RPT
MZKZ0031	X249
NSKZ0002	NI02T
NSKZ0004	NI04T
NSKZ0007	NI07T
NSKZ0034	DA34
NSKZ0034	X237
NSPH0024	INF024	INF-1526		285E3-1LA5A
NSPH0101	ULK101	NIS-360		NIS-P5-0090-A-B, OEM-NIS-360,
NSPH0187	ULK187	NIS-351		285E3-6FL7B, NIS-P5-0120-A-B,
SBKZ0017	DAT17
SBKZ0032	TIK-SUB-32
SBKZ0110	B110
TXHT0050	TOY050	TOY-210		89070-06232, TOY-210 RC,
TXKZ0040	TR40
TXKZ0043	TOY43RATE
TXKZ0044	TOY44HPT
TXKZ0048	TOY48BTE
TXKZ0050	TOY50PT
TXKZ0434	TOY43AT4
TXKZ4595	TOY44DPT
TXTK8040	TOY44GPT	TOY44G-PT		10036448238696, 89785-08040, TXKZ4596,
TSPZ8700	TES001	OEM-TESLA-4-2 PACK		201249, 1131087-00-J,
TXKZ6984	LXP90P
TXPA0063	TOY063	TOY-235		89904-35010
TXPT0085	LEX085	LEX-66		8990H-06021
VWKZ0162	HU162T
HAST0152	ACU015D2	ACURA-894 M2	180954.0	72147-TK4-A81, ACURA-894 M2 RC,
NSPJ0026	NIS026	NIS-313	181293.0	285E3-1AA0B, TIK-NIS-27R, TIK-NIS-27N,
HGPE8600	ULK8600		201663.0	95440-S8600
CHPH7124	ULK860	CHRY-1733	234776.0	68577124AB, 68721503AA, 68741843AA, ULK8602BAHD-KFW1(5)-5 PACK,
CHPH7124	ULK7124	CHRY-1733	234776.0	68721503AA, TIK-JEP-101N, TIK-JEP-101R, ULK71242BAHD-KFW1(5),
HKPJ0210	ULK210	KIA-1169	181231.0	95440-C6000, ULK210TQ8-FOB-4F06(4),
GMFR0307	ULK307	GM-910	171385.0	13530746, TIK-CHV-105R, TIK-CHV-105N, ULK307LXP-T004(4),
TXHA0057	TOY057	TOY-214 G	182411.0	89070-35170, TIK-TOY-19R, TOY-214 G RC,
GMPR0211	ULK211	GM-863	181117.0	13529638, TIK-CHV-78R, TIK-CHV-78N,
GMPR0148	ULK148	GM-890	181125.0	13584512, TIK-GMC-22R, TIK-GMC-22N,
NSPT0028	NIS028	NIS-331	181305.0	285E3-3SG0D, TIK-NIS-52N, TIK-NIS-52R,
CHPR0274	ULK274	CHRY-1623	181026.0	68417821AB, TIK-JEP-48N, TIK-JEP-48R, ULK274, ULK274M3N40821302(4),
HGPT0229	ULK229	HYU-1289	140078.0	95440-C2500, TIK-HYU-87R, TIK-HYU-87N, OEM-HYU-1289,
CHSD0027	FBK027	FOBIK-2156	171052.0	56046709AG, FBK027IYZ-C01C(7),
NSST0024	NIS024	NIS-298	TIK-NIS-22R	285E3-JA05A, 181289, TIK-NIS-22N,
CHPH0027	MOP027	CHRY-1612	181016.0	68143505AC, TIK-JEP-31R, TIK-JEP-31N,
CHPH0032	MOP032	CHRY-1617	TIK-DOG-56R	68150061AC, TIK-DOG-56N, 181021, MOP032M3N40821302(5),
NSPH0054	ULK054	NIS-324	181300.0	285E3-9PB5A, 140019, ULK054N, TIK-NIS-57R, TIK-NIS-57N, OEM-NIS-324,
FTES6989		73923.0		68296989AA
TXKZ0047	TR47	X217
FDKZ0075	1196FD	H75
GMTZ0115	23372326.0	B115PT
GMTK0112	23372328.0	B112PT
CHTK0160	0501036AA	Y160PT
MTTK0016	MN141060	MIT16APT
HGKK0018	AJ00001293	HY18RP
NSKK0237	AF01627002	X237		X237/DA34
HAPT0151	ACU015#1	ACURA-894	180953.0	72147-TK4-A71, TIK-ACU-26N, TIK-ACU-26R,
NSPH0056	ULK056	INF-1525	181208.0	285E3-9NB5A, TIK-INF-34N, TIK-INF-34R, NIS-P5-0071-A-B,
NSPH0269	ULK269	INF-1534	181216.0	285E3-5NA7A, TIK-INF-40N, TIK-INF-40R,
NSPH4911	ULK4911	NIS-384	204216.0	285E3-9UH7A,
NSPH0046	NIS046	NIS-349	181316.0	285E3-1LB5A, TIK-NIS-70N, TIK-NIS-70R, NAPH0046,
NSPH0325	ULK325	INF-1535	181217.0	285E3-9NR5A, 285E3-9NR5B,
HGPT0445	ULK445	HYU-1304		95440-F2002, TIK-HYU-109N, TIK-HYU-109R, HKG-P4-0681-N-B,
HGPT0199	ULK199	HYU-1278	185916.0	95440-F2000, TIK-HYU-70R, TIK-HYU-70N, HKPT0199, HKG-P4-0350-N-B,
HGPT0147	ULK147	HYU-1261	181184.0	95440-3V022,
KAPT0127	ULK127	KIA-1153	140053.0	95440-3R601, TIK-KIA-72N, OEM-KIA-1153, ULK127N,
TXKS0076	K076	Blade 59	53267.0	69515-08020
HGPT0113	ULK113N	HYU-1276	138708.0	HKPT0113, TIK-HYU-56R, TIK-HYU-56N, OEM-HYU-1276, ULK113N,	HKPT0113, TIK-HYU-56R, TIK-HYU-56N, OEM-HYU-1276, ULK113N,
CHPH0562	ULK562	CHRY-1683	171146.0	68582687AB, ULK562M3NWXF0B1(5), TIK-JEP-88R, TIK-JEP-88N, ULK562M3NWXFOB1(5),
HGPH9570	ULK9570	HYU-1483	277595.0	95440-N9570, TIK-HYU-241N, TIK-HYU-241R,
FDHA8070		FORD-R8070-40	171232.0	164-R8070,
FDHR8067	FRD030	FORD-R8067-80	171271.0	164-R8067, FDHR0030, 171271, FORD-R8067-80 RC,
HAPH9021	HON167	HON-573 M1	TIK-HON-121R	TIK-HON-121, 72147-T90-A21, 196541, HON9021KR5TP-4(5), HON9021, OEM-HON-573 M2,
GMPH0437	ULK437	GM-945	255892.0	13560196,ULK437YG0G21TB2(5),
FDFA8334	FRD8334	FORD-R8334	200174.0	164-R8334,TIK-FOR-153N, TIK-FOR-153R, FRD8334N5F-A08TBLP(3),
HGPR9560	ULK9560	HYU-1495	260693.0	95440-BE560, 260501, OEM-HYU-1495, ULK9560TQ8-FOB-4F61M43(4),
MTSJ3650	ULK3650	MIT-875	207878.0	285E3W650P, TIK-MIT-66R, TIK-MIT-66N, OEM-MIT-875,
GMPM0108	ULK108	CAD-1171	180994.0	TIK-CAD-49N, TIK-CAD-49R, CAD-1171 RC, 13510242,
FDHT0033	FRD033	FORD-R8046	182211.0	164-R8046, TIK-FOR-36R, 5921709, TIK-FOR-69N,
MTMK0224	MIT3	X224		X224/MIT3,
NSEK0014	H0564-7W010	BLADE 14
GMMK1110	B96	P1110		P1110/B96,
SBPT0013	SUB013	SUB-940		88835-AJ00A, 181335,
VWPT9752	3G0-959-752-CQ-DTB	3G0-959-752-CQ-DTB		3G0-959-752-CQ-DTB
GMPB0096	ULK096	CAD-1173	TIK-CAD-43R,	180996, 13598530, TIK-CAD-43N, ULK169,
GMFT0186	ULK186	GM-862	TIK-CHV-76R	13514135, 182225,
GMPB0054	GM054	CAD-1163	TIK-CAD-06R	15212382, 171604,
GMRR0134	GM134	GM-900	TIK-CHV-101R	180726, 22881479, GM134M3N-32337200(4),
NSPT0130	ULK130	NIS-344	TIK-NIS-61R	181315, 285E3-9HS4A,
NSPT0188	ULK188	INF-1530	TIK-INF-41R	181213, 285E3-4HB0C, NIS-P4-0360-A-B,
NSST0007	INF007	INF-1480	TIK-INF-22R618	17228, NIS-P4-0090-A-B, 285E3-EH10D,
MZMK0249	X249	MZ31		X249/MZ31, 10036448182616{X249/MZ31}, 10036448182616,
MZTK0024	MAZ24RPT	MAZ24R-PT		ILCO-MAZ24RPT,  F1Y1-76-2GX, 104578,
FDPV8330	FRD8330	FORD-R8330		FRD8330M3N-A3C108397(5), 164-R8330, OEM-FORD-R8330,
KAPH5510	ULK5510	KIA-1276	TIK-KIA-189R	198032, OEM-KIA-1276, 201643, TIK-KIA-189N, 95440-S9510,
HGPE9011	ULK9011	HYU-1435		95440-AR011, 201482, OEM-HYU-1435, HGPZ9011,
HAHS0023	HON023	HON-495	TIK-HON-29R	182341, 35118-TK8-A10, TIK-HON-29N, HON-495 RC, 182341,
HGPR2450	ULK2450	HYU-1479	TIK-HYU-245R	TIK-HYU-245N, OME-HYU-1479, TIK-HYU-245
VWMZ0132	BU8	X132	137083.0
NSPT0052	ULK052	NIS-321	TIK-NIS-46R	285E3-9HP4B, 181298,
NSPT0007	INF007	INF-1480		INF-1480 RC, INF034,
NSPT0010	INF010	INF-1521	TIK-INF-32R	285E3-1MP0A, 181206, 285E3-1MP0D, NIS-P4-0120-R-B,
NSPT6559	ULK6559			285E3-6LY1E,
GMMP0044	P1098E	B44
GMPB0171	ULK171	CAD-1179	TIK-CAD-55R	13544042, 181001,
GMPB0422	ULK422	CAD-1183	TIK-CAD-64R	181003, 13548127, 13536990, 13538860, 13592985,
GMPB0170	ULK170	GM-857	TIK-BUK-07R	181114, 13508414,
GMSB0063	GM063	CAD-1137	TIK-CAD-23R	20998254, 171608,
XXMK0274	HN3	X274		X274/HN3,
HAPB2011	HON2011	HON-541	TIK-HON-116R	196547, 72147-T20-A11,
GMPH0168	ULK168	GM-861	TIK-GMC-17R	13523305, 181116,
MTST0408	ULK408	MIT-866		ULK408OUC003M(4),
SBHT0009	SUB009	SUB-933 RC	TIK-SUB-22R	57497AJ10A, 182371, SUB009CWTWB1U811(4),
VWPT9753	5H0-959-753-BG-AUD
VWES7048	5H0-937-048-AIF
HGPR9060	ULK9060	HYU-1455		95440-BE060, ULK9060TQ8-FOB-4F61M43(4), OEM-HYU-1455,
GMST0087	GM087	CAD-1167	TIK-CAD-29R	25943691, CAD-1167 RC, 180992, 25946298,
GMPA0215	ULK215	GM-864	TIK-CHV-84R	13529665,
CHPR0367	ULK367	CHRY-1667		68575428AA, OEM-CHRY-1667, CDJ-P4-0250-N-B,
GMLP9271	709271.0	SC-709271		709271AEB001, 122144,
CHPR0023	MOP023	CHRY-1605	TIK-DOG-38R	181010, 68066350AB, CDJ-P4-0050-R-B,
HAHJ0019	HON019	HON-509	TIK-HON-19R	35118-SZA-A51, 182328,
MTST0058	ULK058	MIT-860 RC	TIK-MIT-24R	181284, 8637B885,
MTSJ0174	ULK174	MIT-863		MTPJ0174, 8637C813,
HAHA0020	HON020	HON-480	TIK-HON-22R	182315, 35111-SVA-305, HON-480 RC,
HAPT0026	HON026	HON-500	TIK-HON-45R	72147-T2A-A01, 181137,
MZPT0018	MAZ018	MAZ-413	TIK-MAZ-29R	181268, BBY2-67-5RY,
GMPV0276	ULK276	GM-905	TIK-CHV-102R	181132, 13529632, GMPN0276,
GMPV0672	ULK8440	GM-939	TIK-GMC-39R	13560219, 200638,
HAPF7851	HON035	HON-501	TIK-HON-57R	72147-TK8-A51, 181170,
FDTK0128	H128PT	157272.0		FDKZ0128,
JLPJ0008	LDR008	LAND-1320	TIK-ROV-16R	LR060129, 181241,
HAPT7211	HON721D1	HON-576 M1		264794, 72147-THR-AB1, HON721KR5TP-4(6),
MTSA0983	ULK983	MIT-888	TIK-MIT-64R	285E3W430P,
HGPE6100	ULK8944	HYU-1461	TIK-HYU-225R	95440-P6100, OEM-HYU-1461,
HGPB9010	ULK9010	HYU-1430	TIK-HYU-282R	95440-T1010, 201507, OEM-HYU-1430, TIK-HYU-282N,
HGPE1210	ULK1210	HYU-1410		95440-T1210, 203517,
KAPH0129	KIA129	KIA-1297		95440-P1110, 203137, OEM-KIA-1297,
TXHT0049	TOY049	TOY-210 G	TIK-TOY-59R	89070-33C40, 182432, TOY-210 G RC,
TXPJ0002	LEX002	LEX-30	TIK-LEX-29R	89904-0E031, 181246,
KAFF0080	KIA080	KIA-1199		171700, 95430-A9350, KIA080TQ8-RKE-4F37(6),
FDPR0415	FRD415	FORD-R8333		164-R8415, FRD415M3N-A3C108397(4), 164-R8333, 5945817,
GMPH0214	ULK214	CAD-1177	TIK-CAD-54R	13510245, 180999, ULK214HYQ2EB,
HAPT0261	ACU026D1	ACURA-913 D1	TIK-ACU-38R	72147-TY2-A01, 180970,
HAPB0028	ACU028	OEM-ACURA-912 M1	TIK-ACU-40NM1	72147-TZ3-A51, 140110,
XXMZ0004	BAU4
VWPB9752	3G0-959-752-DA-DTB
VWES7048	3G0-937-048-AIF			3G0-937-048--AIF,
HAPB0123	HON123	HON-531		72147-TWA-A11,
HAPB0392	ACU039D2	ACURA-914 M2		72147-TZ3-A81,
HGPH0684	ULK684	HYU-1353	TIK-HYU-190R	95440-N9072, ULK684UL, 171721,
HGFA0064	HYU064	HYU-1318	TIK-HYU-117R	95430-S2300, OEM-HYU-1318, TIK-HYU-117N, 171624, 171623,
HGST0063	ULK063	HYU-1250	TIK-HYU-23R	95440-3M220, 95440-3Q000, 181399, HYU-1250 RC, 181180,
HGFA2400	HYU2400	HYU-1313	TIK-HYU-149N	95430-K2400, OEM-HYU-1313, 150632, HYU2400SY51GRGE03(3), HKFA2400,
TXRA0001	TOY001	TOY-112	TIK-TOY-22R	89742-AE010, 180769, 89742-AE010, 180769, TOY-112 RC,
GMPM0364	ULK364	CAD-1178		13598512, 181000,
GMLP7835	707835.0	SC-707835
TXES0059	Blade 59	69515-08020		K076-1,
CHFA1412	ULK1412	CHRY-1675		48070, 68296748AA, CHRY-1675 K2G, CHRY-1675 AM, 154665,
FDPB0102	FRD102	FORD-R8154	TIK-LIN-23R	164-R8154, 181098,
FDPH0132	FRD132	FORD-R8226	TIK-LIN-27R	164-R8226, 181106,
GMRR0090	GM090	GM-833	TIK-GMC-12R	13580082, 180710,
GMRA0041	GM041	GM-626	TIK-GM-10R	10335583, 180678,
GMRA0088	GM088	GM-828	TIK-GM-89R	13577771, 180690,
GMFA0030	ULK030	GM-799	TIK-GM-67R	20873623, 122226, ULK030S,
GMFA0273	ULK273	GM-891	TIK-CHV-80R	13514134, 171372,
GMPH0574	ULK574	GM-933	TIK-BUK-17R	13547571, 171510,
CHPB0131	ULK131	CHRY-1622	TIK-CHR-40R	68394191AA, 181025, 68155687AB,
FDPV0098	FRD098	FORD-R8166	TIK-FOR-86R	164-R8166, 181101,
CHHJ0004	ULK004	M3N4-1873	TIK-CHR-22R	04589053AA, 68273341AC, 171009, ULK004CM3N5WY72XX(4),
SBPK0960	ULK610	OEM-SUB-960		8990H42610, 255392, ULK610HYQ14FBX(4),
HGPH9500	ULK9500	OEM-HYU-1515	TIK-HYU-282N	95440-N9500,
KAPT0414	ULK414	KIA-1190	TIK-KIA-118R	95440-M7001,
SBHT0011	SUB011	SUB-931	TIK-SUB-10R	57497-AG35A, 182389,
SBHT0017	SUB017	SUB-944	TIK-SUB-33R	57497-FL00A, 182379,
NSPA0033	NIS033	NIS-339	TIK-NIS-31R	285E3-1HJ2A, 181310,
KAFA0120	KIA0120	KIA-1237	TIK-KIA-182N	95430-K0120,196320, HKFA0120,
HGPA0226	ULK226	HYU-1288	TIK-HYU-77R	OEM-HYU-1288, 95440-G2000, ULK226N,
GMMK0096	B96	P1110	TIK-ILC-B96
GMLP6797	706797.0	SC-706797	TIL-STR-706797
GMPR0043	ULK3574	GM-947	TIK-GMC-43N	13530574, 236076,
HGPR0245	ULK2450	HYU-1479	TIK-HYU-245N	95440-K2450, 233376,
HGPR0241	ULK9570	HYU-1483	TIK-HYU-241R	95440-N9570, 277595,
HAHF0028			TIK-HON-28R	35118-TK8-A40,
HGPA0554	ULK554	HYU-1321	TIK-HYU-147R	95440-K2200, 171702,
KAPE4010	ULK4010	KIA-1234	TIK-KIA-175R	95440-CV010, OEM-KIA-1234, 187755,
CHPA0356	ULK356	CHRY-1668		68575426AA, 181060, ULK356GQ4-76T(3),
GMPH0270	ULK270	GM-895	TIK-BUK-11	181128, 13532751, ULK270HYQ4EA(5),
TXPJ0003	LEX003	LEX-41	TIK-LEX-32R	181258, 89904-60590, LEX003HYQ14ACX(4)
TXPT0039	LEX039	LEX-42	TIK-LEX-44R	181259, 89904-53651, LEX039HYQ14FBA(4)
FDHB0023	FRD023	FORD-R8064	TIK-ILC-053R	171270, 5915218, 164-R8064, FRD023CWTWB1U793(4), TIK-ILC-053,
CHHA0028	MOP028	KOB3-1888 RC		170977, KOB3-1888 RC, MOP028KOBDT04A(3), 5183348AB,
GMRA0038	GM038	GM-578		15051014, GM038MYT3X6898B(3), 180681,
TXPF0039	TOY039	TOY-241	TIK-TOY-44	181366, 89904-08010, TOY039HYQ14ADR(6),
FDRA0009	FORD(3)	FORD-760		FORD-760 RC, 8L3Z-15K601-B, FORD(3)CWTWB1U331,
HAPT0241	ACU024D1	ACURA-897 M1		72147-TX6-A01,
CHPT0120	ULK120	CHRY-1618	TIK-CHR-53R	181022, 68155686AB,
MZPT0020	MAZ020N	OEM-MAZ-418	TIK-MAZ-55N	139924, MAZ020WAZX1T763SKE11A04(4), NHY8-67-5RYA, WAZX1T763SKE11A04, WAZX1T768SKE11A04,
NSPB4910		NIS-407	TIK-NIS-113R	202278, ULK4910KR5TXN7(5), 285E3-9DL5A,
HGPT0062	ULK062	HYU-1249	TIK-HYU-22R	181179, ULK062SY5HMFNA04(4), 95440-2M350,
TXHA0014	LEX014	LEX-09 RC	TIK-LEX-08R	172380, 89070-48821, LEX014HYQ12BBT(3),
HGPR1510			TIK-HYU-279R	ULK1510TQ8-FOB-4F61M43(5), 95440-L1510,
HAPJ4711	ULK573	ACURA-921 D1	TIK-ACU-66R	ACU4711KR5TP-2(4), 72147-TYA-A11, 171952, ACU4711D1,
NSMK0237	X237/DA34	ILCO-KB-DA34-10 PACK		136878, 10036448180032,
FDPT0092	FRD092	FORD-R8147	TIK-FOR-81R	171284, 164-R8147, FRD145,
NSPA0333	ULK333	NIS-357	TIK-NIS-89R	181324, 285E3-9UF1B,
SBHT0008	SUB008	SUB-929	TIK-SUB-11R	182386, SUB008CWTWBU766(4), 57497AG48A, 57497-AG45A, 57497-AG48A,
HAHT0184	ULK184	HON-499	TIK-HON-46	182338, 35118-T2A-A20
TXPJ0044	TOY044	TOY-234		TLS-P4-0640-R-B
TXHA0056	TOY056	TOY-211	TIK-TOY-42R	19185109, 182408, 89070-0T030, TLS-C3-0220-R-B,
NSPA0166	ULK166	NIS-342	TIK-NIS-59R	181313, 285E3-5AA1C, ULK166KR5S180144014(3),
HGPH0214	HYU214N	OEM-HYU-1460	TIK-HYU-224R	95440-P6050, ULK6050TQ8-FOB-4F89U44(5), TIK-HYU-224, 301094,
GMRB0016	GM016	GM-715	TIK-GM-13R	180721, 22733524, GM016KOBGT04A(5),
VLPX0167	ULK167	VOLVO-560	TIK-VOL-26R	182437, 31419131, ULK167-5WK49266(6),
HGFA2200	HYU081	HYU-1357	TIK-HYU-169R	95430-S2200, 200760, HYU2200TQ8-RKE-4F41(3),
GMRR0014	GM014	GM-664 RC	TIK-GM-15R	15114374, 5927410, GM-664, GM014KOBGT04A(4), 180714,
CHPA5263	ULK5263	CHRY-1744	TIK-JEP-97R	7TB23DX9PA, ULK52632ADPXFI7PE(3), 279496,
CHST0005	FBK005	FOBIK-2151	TIK-DOG-30R	05026886AK, FBK005IYZ-C01C(4), 182190, 05026315AA,
TXPJ0167	TOY167	OEM-TOY-358	TIK-TOY-167N	8990H-0C021, 200755, TOY167HYQ14FBX(4),
TXPJ0167	TOY167	TOY-358	TIK-TOY-167R	8990H-0C021,
HGRZ0006	HYU006	HYU-1242 RC	TIK-HYU-42R	95430-2S200, 95430-2S201, HYU006OSLOKA-850T(3), 180731, HYU-1242,
HGRZ0012	HYU012	HYU-1255	TIK-HYU-62R	95430-A5200, HYU012TQ8RKE-3F03(4), 239776,
GMFA0024	ULK024	GM-772	TIK-GM-66R	20873621, 182219, 13504266, 20835406, 20873621, 5913598, ULK024OHT01060512(3),
NSPH0390	ULK390	INF-1540	TIK-INF-51R	285E3-5NY7A, 172321, ULK390KR5TXN1(5),
GMRS0019	GM-682 RC	GM019		GM-682, 15114375, 171597, GM019KOBGT04A(5),
TXFA0144	TOY144	TOY-286	TIK-TOY-147R	89070-42G00, 182396, TOY144HYQ12BFW(3),
FDPH0206	FRD206	FORD-R8320	TIK-FOR-137R	FRD206M3N-A3C054339(5), 185704, 164-R8320,
GMRT0004	GM004	GM-706	TIK-GM-19	180713, 10337866, 15859329,
KART0011	KIA011	KIA-1136	TIK-KIA-45R	95430-2T000, 180753, KIA011NYOSEKS-TF10ATX(4),
FDFA0193	FRD193	FORD-R8269	TIK-FOR-70R	164-R8269, FRD8269N5F-A08TAA(3), 171213, FRD8269N5F-A08TAA,
MTHT0020	ULK020	MIT-RHK 3	TIK-MIT-21R	MN141545, 172234, MIT-RHK-3 RC,
HAPJ0036	HON036	HON-508	TIK-HON-95R	72147-T0A-A11, 181148,
VWFB9753	H0-959-753-BK-AUD
BATT2430				CR2430,
GMRU0003	GM003	GM-742	TIK-GM-24R	15883405, 180712,
MZES0152	BCY0-76-201	BLADE 152		K465
MZES0226	VAY0-76-201	BLADE 226		K762
MZFA0021	MAZ021	MAZ-320	TIK-MAZ-20R	BCR2-67-5RY, MAZ-C3-0020-R-B, 182346,
GMFA0322	ULK332	NIS-386	TIK-CHV-104R	ULK322KR5TXN1(4), 13530754, 182215,
CHPH9565	ULK9565	CHRY-1687	TIK-JEP-89R	68469565AA, 171148,
TXHT0052	TOY052	TOY-209	TIK-TOY-43R	89070-02270, 182427, TOY-209 RC,
HAPH0602	HON060#2	HON-538 M2		72147-TG7-AB1, 181176,
HAPT0026	HON026	HON-500	TIK-HON-79R	181137, 72147-T2A-A01,
VWSJ9754	7P6-959-754-AM-IRZ
NSPB0049	ULK049	NIS-402		202772, 285E3-6LA6A, 202772, ULK049KR5TXN4(5),
BMHT0002	BMW011	BMW-1460 K2G		104517, 6955750, 8377809,
NSPH6140	ULK6140	NIS-408	TIK-NIS-126R	364695, 285E3-6RZ7E, ULK6140KR5TXPZ3(5),
NSPT0005	INF005	INF-1478	TIK-INF-21R	181203, 285E3-JK65A, NSST0005, INF005KR55WK48903(4),
HGRT0007	HYU007	HYU-1200 RC	TIK-HYU-11R	171852, 95430-2H200, 95430-3K202, HYU007OSLOKA-310T(4), 95430-3K201, 95430-3K202,
GMPR8442	ULK8442	GM-1011	TIK-CHV-147R	GM1012, 202404, ULK8442YG0G21TB2(4),
HAPH0156	HON156	HON-538 M1		72147-TG7-A81, 172006, HON060KR5T4X(5)DRIVER1,
CHSR0077	ULK077	FOBIK-2201	TIK-DOG-55R	ULK077GQ4-53T(4), 182187, 56046955AC, 68508721AA, 56046955AF, 56046955AG,
TXPJ0224	TOY224N	OEM-TOY-315		8990H-0E030, 172509, TOY224HYQ14FBC(4), TOY224,
HAPD0721	HON214	HON-576 M1	TIK-HON-123R	HAPF7211, 72147-THR-AB1, HON721KR5TP-4(6)DRIVER1, 264794,
BMPT1466		BMW-1466		9266843-01, 170926,
NSPB0079	ULK079	NIS-363	TIK-NIS-90R	ULK079KR5TXN7(5), 181329, 285E3-9DJ3B,
FDPH0397	FRD397	FORD-R8397		274794, 164-R8397, FRD397M3N-A3C108397(5), RL1T-15K601-BB,
TXPA0036	LEX036	LEX-45		89904-78460,
TXPA0036	LEX036	LEX-45	TIK-LEX-45	181263, 89904-78460
CHHM0011	ULK011	OHT6-1853		171050, 68291092AA, ULK011OHT692427AA(6),
KAPH0140	KIA140N	OEM-KIA-1318	TIK-KIA-235	95440-P1AE0, 269397, ULK235TQ8-FOB-4F81M44(5),
