ML_PN	LR_ID	MW_ID	TI P/N	ALIASES
NSPT0088	ULK088	INF-1527	TIK-INF-37R	285E3-4HD0C, 181210, TIK-INF-37N,
NSPT0322		NIS-386	TIK-NIS-96R	201335, 285E3-6LA1A,
SBHT0010	SUB010	SUB-938	182383.0	57497FJ230,182383, TIK-SUB-20R, TIK-SUB-20N, SUB-938 RC, SUHT0010, SUHT0010_182383,
SBHT0019	SUB019	SUB-946	TIK-SUB-40	TIK-SUB-40N, TIK-SUB-40R, OEM-SUB-946, 57497-SJ050, 57497-SJ051, 57497SJ050, 57497SJ051, 182381, 48065, SUB-946 RC, 57497SJ051,
SBHT0007	SUB007	SUB-934	182373.0	57497-AJ00A, TIK-SUB-12R, TIK-SUB-12N, OEM-SUB-934, SUB-C4-0020-R-B,
SBPT0253	ULK253	SUB-941	181336.0	88835AL04B, SUB-941 RC, 172371, 181336, SUPT0253, SBPT0253_ULK253,
SBPT0253	ULK253	SUB-941	TIK-SUB-29	TIK-SUB-29R, TIK-SUB-29N,
SBPT0255	ULK255	SUB-943	TIK-SUB-37R	88835FL03C, SUPT0255, SUB-943 RC, 172374, TIK-SUB-37N, OEM-SUB-943, 181337,
FDHA0022	FRD022	FORD-R8070-80	TIK-FOR-28R	171238, 164-R8070, FORD-R8070-80 RC,
SBPT0355	ULK355	SUB-956	202298.0	88835XC00A, TIK-SUB-45N, TIK-SUB-45R, TIK-SUB-45, 202298
TXFA0157	TOY157	TOY-283	TIK-TOY-131R	89070-0R300, TIK-TOY-131N, 182392,
HAHT0022	HON022	HON-498	TIK-HON-41R	35118-TR0-A00, 171909,
TXHA0058	TOY058	TOY-214	182409.0	89070-0R030, TOY-214 RC
TXHA0058	TOY058	TOY-214	TIK-TOY-54	TIK-TOY-54R, TIK-TOY-54N,
TXHT0061	TOY061	TOY-250 H	172419.0	89070-02882, TIK-TOY-89, TIK-TOY-89R, TIK-TOY-89N, TXHT0061_172419, TOY-250 H RC,
TXKZ6984	K897	ILCO-PH-LXP90-P-5 PACK	136984.0	ILCO-PH-LXP90-P, ILCO-LXP90
TXPA0046	TOY046	TOY-205	181352.0	89904-47373, 181352,
